name,budget,release_date,vote_average,adult,id,language,popularity,revenue,runtime,status,tagline,title,vote_count,First_genre,Second_genre,Third_genre,collection_name
Take the Lead,30000000,2006-03-17,6.8,False,12763,en,7.0760000000000005,34742066,108.0,Released,Never Follow,Take the Lead,403,Comedy,Music,Drama,
Missing in Action 2: The Beginning,2410000,1985-03-01,5.5,False,12764,en,9.701,10755447,100.0,Released,Chuck Norris is back! A one-man time bomb set to explode!,Missing in Action 2: The Beginning,121,Action,War,,Missing in Action Collection
Milchwald,0,2003-02-10,7.3,False,12765,de,0.711,0,94.0,Released,,In This Very Moment,4,Drama,,,
Vera Cruz,0,1954-12-25,6.9,False,12766,en,7.2010000000000005,0,94.0,Released,The Giants Battle In The Biggest Spectacle Of Them All!,Vera Cruz,74,Action,Western,Romance,
Cold Creek Manor,0,2003-09-19,5.3,False,12767,en,6.343,21384035,118.0,Released,The perfect house hides the perfect crime.,Cold Creek Manor,221,Mystery,Thriller,,
Wir,0,2003-01-15,6.0,False,12768,en,1.287,0,100.0,Released,,We,2,Comedy,Drama,,
Stealing Harvard,0,2002-09-13,4.9,False,12770,en,5.9110000000000005,0,85.0,Released,Their intentions were honorable. Their methods were criminal.,Stealing Harvard,77,Action,Comedy,Drama,
Serving Sara,29000000,2002-08-20,5.3,False,12771,en,7.4,16930185,100.0,Released,The One Thing That Could Bring Them Together Is Revenge.,Serving Sara,164,Comedy,Romance,,
Leap of Faith,0,1992-12-18,5.6,False,12772,en,8.589,0,108.0,Released,"Real miracles, sensibly priced.",Leap of Faith,96,Comedy,Drama,Romance,
Last Exit to Brooklyn,0,1989-10-11,6.6,False,12774,en,4.781000000000001,0,102.0,Released,The Novel That Shocked The World Is Now A Movie,Last Exit to Brooklyn,41,Drama,,,
Flesh + Blood,6500000,1985-08-30,6.6,False,12775,en,8.656,0,126.0,Released,Betrayed by power. Corrupted by love. Bound by honor.,Flesh + Blood,171,Adventure,Drama,,
Johnny Stecchino,0,1991-10-23,7.4,False,12776,it,7.397,0,102.0,Released,Sometimes a banana is just a banana!,Johnny Stecchino,589,Comedy,,,
It's All About Love,0,2003-01-10,6.1,False,12777,en,5.517,0,104.0,Released,,It's All About Love,49,,,,
Greedy,0,1994-03-04,6.2,False,12778,en,8.809,13145977,113.0,Released,"Where there’s a will, there’s a relative.",Greedy,122,Comedy,,,
Swept Away,10000000,2002-10-11,4.6,False,12779,en,8.956,598645,89.0,Released,A snooty socialite is stranded on a Mediterranean island with a communist sailor.,Swept Away,124,Comedy,Romance,,
少年黃飛鴻之鐵馬骝,0,1993-09-03,7.6,False,12780,cn,7.1739999999999995,14681661,90.0,Released,Unmask the legend,Iron Monkey,141,Action,Crime,Drama,Iron Monkey
Das fliegende Klassenzimmer,0,1954-09-02,7.2,False,12781,de,2.044,0,92.0,Released,,The Flying Classroom,9,Family,Comedy,Drama,
Die Jagd nach dem Schatz der Nibelungen,5000000,2008-08-31,5.1,False,12782,de,3.58,0,120.0,Released,,The Charlemagne Code,10,Adventure,,,Die Jagd nach ... Filmreihe
The Duchess,17759769,2008-09-05,6.9,False,12783,en,12.788,43306325,110.0,Released,Based on the incredible true story.,The Duchess,986,Drama,History,Romance,
Curiosity & the Cat,0,1999-01-01,0.0,False,12786,en,1.3769999999999998,0,80.0,Released,,Curiosity & the Cat,0,,,,
Homeboy,0,1988-08-24,5.0,False,12787,en,3.625,0,116.0,Released,Some people live life blow by blow.,Homeboy,12,Drama,,,
Mein Leben,0,2006-02-25,0.0,False,12788,en,0.6,0,14.0,Released,,Mein Leben,0,,,,
Nicht böse sein!,0,2006-01-01,10.0,False,12789,en,0.6,0,,Released,,Nicht böse sein!,1,,,,
Nuit noire,0,2005-10-03,7.6,False,12790,fr,1.99,0,90.0,Released,,Black Night,11,Drama,,,
End of the Line,0,2007-10-14,6.0,False,12791,en,4.163,0,95.0,Released,God loves you,End of the Line,57,Horror,Thriller,,
All Over Me,0,1997-02-15,6.1,False,12793,en,5.457000000000001,0,93.0,Released,"In a world that expects you to fit in, sometimes you have to stand out.",All Over Me,30,Drama,Romance,,
Amnesia: The James Brighton Enigma,0,2005-01-01,5.0,False,12794,en,3.377,0,90.0,Released,,Amnesia: The James Brighton Enigma,10,Drama,Mystery,Thriller,
Another Gay Movie,500000,2006-04-28,5.8,False,12795,en,5.726,745327,92.0,Released,,Another Gay Movie,74,Comedy,Romance,,Another Gay Movie Collection
Sebastian,0,1968-01-24,5.3,False,12796,en,1.905,0,100.0,Released,,Sebastian,5,Drama,Romance,,
Ghost Town,20000000,2008-09-19,6.4,False,12797,en,9.232000000000001,27074492,102.0,Released,He sees dead people... and they annoy him.,Ghost Town,495,Comedy,Fantasy,Romance,
Il più bel giorno della mia vita,0,2002-04-12,7.1,False,12798,en,2.015,0,102.0,Released,,The Best Day of My Life,7,,,,
À Toute vitesse,0,1996-09-25,6.6,False,12799,fr,1.5419999999999998,0,85.0,Released,,Full Speed,8,Romance,Drama,,
Benzina,0,2001-11-20,5.5,False,12800,en,2.958,0,90.0,Released,,Gasoline,9,Crime,,,
Goldfish Memory,1200000,2003-03-20,6.5,False,12802,en,2.155,0,85.0,Released,,Goldfish Memory,10,Comedy,Drama,Romance,
Gossenkind,0,1991-01-01,0.0,False,12803,de,0.6,0,88.0,Released,,Gossenkind,0,Drama,,,
Intimes Tagebuch,0,2003-06-26,0.0,False,12804,es,0.6,0,65.0,Released,,Private Diary,0,Documentary,,,
Keller - Teenage Wasteland,0,2005-08-06,3.9,False,12805,de,1.247,0,92.0,Released,Infatuation. Obsession. Abduction.,Keller - Teenage Wasteland,7,Drama,,,
Krámpack,0,2000-05-18,6.3,False,12806,ca,2.602,0,91.0,Released,,Nico and Dani,34,Drama,Comedy,Romance,
Oublier Cheyenne,0,2005-04-01,5.6,False,12807,en,0.6,0,86.0,Released,,Looking for Cheyenne,4,Romance,,,
Nina's Heavenly Delights,0,2006-09-28,6.8,False,12808,en,4.112,0,94.0,Released,,Nina's Heavenly Delights,25,Romance,Comedy,Drama,
Der Mond und andere Liebhaber,0,2008-07-24,0.0,False,12809,de,1.351,0,101.0,Released,,The Moon and Other Lovers,0,Drama,,,
The Dry Spell,0,2005-01-21,0.0,False,12810,en,0.6,0,,Released,,The Dry Spell,0,,,,
BirdWatchers - La terra degli uomini rossi,0,2008-08-31,6.3,False,12811,it,1.215,0,104.0,Released,,Birdwatchers,12,Drama,,,
Wild Side,0,2004-02-08,7.1,False,12812,fr,2.8710000000000004,0,110.0,Released,,Wild Side,8,Drama,,,
Zurück auf Los!,0,2001-03-22,4.0,False,12813,de,0.621,0,90.0,Released,,Return to Go,1,Comedy,,,
