name,budget,release_date,vote_average,adult,id,language,popularity,revenue,runtime,status,tagline,title,vote_count,First_genre,Second_genre,Third_genre,collection_name
Mulholland Drive,15000000,2001-09-08,7.8,False,1018,en,16.046,20117339,147.0,Released,An actress longing to be a star. A woman searching for herself. Both worlds will collide… on Mulholland Drive.,Mulholland Drive,3192,Thriller,Drama,Mystery,
Adams æbler,3700000,2005-04-15,7.5,False,1023,da,8.238,0,94.0,Released,"When it rains, it pours",Adam's Apples,324,Drama,Comedy,Crime,
Heavenly Creatures,5000000,1994-09-12,7.1,False,1024,en,11.453,3049135,109.0,Released,Not all angels are innocent.,Heavenly Creatures,503,Drama,Fantasy,,
Die Siebtelbauern,0,1998-06-19,7.3,False,1039,de,1.919,0,95.0,Released,The rich get richer... and sometimes the poor get richer too.,The Inheritors,9,Drama,,,
Il gattopardo,0,1963-03-28,7.7,False,1040,it,9.634,0,186.0,Released,Luchino Visconti's enduring romantic adventure,The Leopard,317,Drama,,,
Sommersby,0,1993-02-05,6.3,False,1049,en,9.177,140081992,109.0,Released,She knew his face. His touch. His voice. She knew everything about him... But the truth.,Sommersby,175,,,,
洗澡,0,1999-09-13,7.2,False,1050,zh,2.519,0,92.0,Released,,Shower,29,Comedy,Drama,,
The French Connection,1800000,1971-10-09,7.6,False,1051,en,16.423,41158757,104.0,Released,There are no rules and no holds barred when Popeye cuts loose!,The French Connection,819,Action,Crime,Thriller,French Connection Collection
Blow-Up,1800000,1966-12-18,7.5,False,1052,en,12.83,0,111.0,Released,Michelangelo Antonioni's first British film,Blow-Up,555,Drama,Mystery,Thriller,
Breathless,0,1983-05-13,5.9,False,1058,en,9.396,19910002,100.0,Released,He's the last man on earth any woman needs - but every woman wants...,Breathless,108,,,,
隠し砦の三悪人,0,1958-12-28,8.1,False,1059,ja,10.07,0,139.0,Released,,The Hidden Fortress,231,,,,
Arlington Road,21500000,1999-03-19,7.1,False,1073,en,12.765999999999998,0,117.0,Released,Your Paranoia Is Real.,Arlington Road,498,,,,
"Crna mačka, beli mačor",0,1998-06-01,7.7,False,1075,sr,7.669,0,127.0,Released,,"Black Cat, White Cat",320,Comedy,Romance,,
Whale Rider,8000000,2003-01-30,7.4,False,1088,en,9.779,41400000,101.0,Released,In the ways of the ancients she found a hope for the future.,Whale Rider,184,Drama,Family,,
Point Break,24000000,1991-07-12,7.0,False,1089,en,13.969000000000001,83531958,120.0,Released,100% Pure Adrenaline!,Point Break,1751,Action,Thriller,Crime,
The Thirteenth Floor,16000000,1999-04-16,7.0,False,1090,en,14.542,18564088,101.0,Released,Question reality.,The Thirteenth Floor,675,Thriller,Science Fiction,Mystery,
The Thing,15000000,1982-06-25,8.0,False,1091,en,21.279,19629760,109.0,Released,Man is The Warmest Place to Hide.,The Thing,3385,Horror,Mystery,Science Fiction,The Thing Collection
The Third Man,0,1949-08-31,8.1,False,1092,en,13.522,596349,105.0,Released,Hunted by men ... Sought by WOMEN!,The Third Man,855,Thriller,Mystery,,
Ascenseur pour l'échafaud,0,1958-01-29,7.7,False,1093,fr,6.192,263404,91.0,Released,Frantic for life and love - Frantic for excitement,Elevator to the Gallows,205,Drama,Thriller,Crime,
Escape from New York,6000000,1981-05-22,7.1,False,1103,en,14.472999999999999,50244700,99.0,Released,New York is a disease. Meet the cure.,Escape from New York,1484,Science Fiction,Action,,Escape From ... Collection
Die Geschichte vom weinenden Kamel,0,2003-06-29,7.8,False,1114,mn,3.784,0,91.0,Released,,The Story of the Weeping Camel,54,Documentary,Drama,,
Gespenster,0,2005-09-15,7.1,False,1115,de,1.933,0,85.0,Released,,Ghosts,13,Drama,,,
The Wind That Shakes the Barley,6500000,2006-03-24,7.4,False,1116,en,10.460999999999999,22889018,124.0,Released,,The Wind That Shakes the Barley,336,Drama,War,,
Catch a Fire,0,2006-10-27,6.5,False,1123,en,6.335,4291965,101.0,Released,"The spark that ignites us, unites us.",Catch a Fire,53,Action,Drama,Thriller,
The Prestige,40000000,2006-10-19,8.2,False,1124,en,17.215999999999998,109676311,130.0,Released,Are You Watching Closely?,The Prestige,8849,Drama,Mystery,Thriller,
Dreamgirls,70000000,2006-12-25,6.7,False,1125,en,10.353,154937680,134.0,Released,One Dream Will Change Everything,Dreamgirls,546,Drama,,,
In My Father's Den,0,2004-06-11,7.7,False,1126,en,5.205,0,126.0,Released,,In My Father's Den,47,Drama,Thriller,,
Princesas,0,2005-09-02,7.1,False,1127,es,3.2260000000000004,0,113.0,Released,,Princesses,37,Drama,,,
The Miracle Worker,500000,1962-05-22,7.7,False,1162,en,7.086,2500000,106.0,Released,An emotional earthquake!,The Miracle Worker,127,Drama,,,
The Miracle Worker,0,2000-11-12,6.6,False,1163,en,4.662,0,95.0,Released,,The Miracle Worker,17,Drama,TV Movie,,
Babel,25000000,2006-09-08,7.1,False,1164,en,12.690999999999999,135330182,143.0,Released,If You Want to be Understood...Listen,Babel,2050,Drama,,,
The Queen,15000000,2006-09-15,7.0,False,1165,en,10.727,123384128,103.0,Released,Our Leaders. Ourselves.,The Queen,677,Drama,,,
The Talented Mr. Ripley,40000000,1999-12-25,7.2,False,1213,en,12.413,128798265,139.0,Released,How far would you go to become someone else?,The Talented Mr. Ripley,1480,Thriller,Crime,Drama,
Das wilde Leben,0,2007-02-01,6.8,False,1244,de,4.275,957744,114.0,Released,,Eight Miles High,18,Music,Drama,Comedy,
The Remains of the Day,11500000,1993-11-05,7.5,False,1245,en,10.533,23237911,134.0,Released,Diamond in the Rough,The Remains of the Day,527,Drama,Romance,,
Rocky Balboa,24000000,2006-12-20,6.7,False,1246,en,15.322000000000001,155721132,102.0,Released,It ain't over 'til it's over.,Rocky Balboa,1857,Drama,,,Rocky Collection
The Good Shepherd,85000000,2006-12-11,6.4,False,1247,en,11.630999999999998,59908565,167.0,Released,The untold story of the most powerful covert agency in the world.,The Good Shepherd,578,Drama,Thriller,History,
Hannibal Rising,50000000,2007-02-06,6.1,False,1248,en,2.615,82169884,121.0,Released,It started with revenge.,Hannibal Rising,1168,,,,The Hannibal Lecter Collection
Hollywoodland,0,2006-08-31,6.2,False,1249,en,9.675,16803753,126.0,Released,Living in Hollywood can make you famous. Dying in Hollywood can make you a legend.,Hollywoodland,184,Drama,Thriller,Crime,
Ghost Rider,110000000,2007-02-16,5.4,False,1250,en,16.903,228738393,114.0,Released,Hell is About To Be Unleashed,Ghost Rider,3486,,,,Ghost Rider Collection
Letters from Iwo Jima,19000000,2006-12-19,7.4,False,1251,en,12.715,68673228,141.0,Released,The battle of Iwo Jima seen through the eyes of the Japanese soldiers.,Letters from Iwo Jima,1035,Action,Drama,War,Clint Eastwood's Iwo Jima Collection
Lonely Hearts,0,2006-04-30,6.1,False,1252,en,10.681,0,108.0,Released,,Lonely Hearts,181,,,,
Breaking and Entering,0,2006-12-15,6.3,False,1253,en,9.016,8974829,129.0,Released,,Breaking and Entering,118,Drama,Romance,,
"Je vais bien, ne t'en fais pas",0,2006-09-06,7.3,False,1254,fr,8.499,0,96.0,Released,,"Don't Worry, I'm Fine",361,Drama,,,
괴물,11000000,2006-07-27,6.8,False,1255,ko,11.369000000000002,88489643,120.0,Released,Monsters are real.,The Host,1052,Horror,Drama,Science Fiction,
In 3 Tagen bist du tot,2000000,2006-07-21,5.5,False,1256,de,2.7,0,97.0,Released,,Dead in 3 days,28,Horror,Thriller,,In 3 Tagen bist du tot Filmreihe
Because I Said So,0,2007-02-02,6.0,False,1257,en,11.552999999999999,69485490,102.0,Released,"She's just your normal, overprotective, overbearing, over-the-top mother.",Because I Said So,397,Comedy,Romance,,
Notes on a Scandal,15000000,2006-12-25,7.1,False,1259,en,10.191,49469904,92.0,Released,One woman's secret is another woman's power. One woman's fear is another woman's weapon. One woman's life is in another woman's hands....,Notes on a Scandal,447,Drama,Romance,,
Leiutajateküla Lotte,0,2006-08-25,9.2,False,1260,et,1.551,0,81.0,Released,,Lotte from Gadgetville,6,,,,
Stranger Than Fiction,30000000,2006-09-09,7.2,False,1262,en,13.158,53653224,113.0,Released,Harold Crick isn't ready to go. Period.,Stranger Than Fiction,1295,,,,
Die Aufschneider,0,2007-02-08,5.8,False,1263,de,1.4,0,92.0,Released,,Die Aufschneider,6,Comedy,,,
Die Wilden Kerle 4,700000,2007-02-01,5.7,False,1264,de,4.106,0,110.0,Released,,The Wild Soccer Bunch 4,35,Comedy,Family,Adventure,The Wild Soccer Bunch Collection
Bridge to Terabithia,60000000,2007-02-16,7.2,False,1265,en,12.696,137587063,96.0,Released,"Close your eyes, but keep your mind wide open.",Bridge to Terabithia,2614,Adventure,Drama,Family,
Street Kings,20000000,2008-04-10,6.5,False,1266,en,15.048,65569869,109.0,Released,Their city. Their rules. No prisoners.,Street Kings,694,,,,Street Kings Collection
Meet the Robinsons,150000000,2007-03-23,6.8,False,1267,en,15.752,169332978,95.0,Released,Think your family's weird?,Meet the Robinsons,1620,Animation,Comedy,Family,
Mr. Bean's Holiday,25000000,2007-03-22,6.3,False,1268,en,10.353,229736344,90.0,Released,Disaster has a passport.,Mr. Bean's Holiday,1584,Family,Comedy,,Mr. Bean Collection
Neues vom Wixxer,0,2007-03-10,6.4,False,1269,de,5.605,0,98.0,Released,,The Vexxer,68,Comedy,Crime,,The Wixxer Trilogy
300,65000000,2007-03-07,7.1,False,1271,en,13.494000000000002,422610419,117.0,Released,"Spartans, prepare for glory!",300,8643,Action,Adventure,War,300 Collection
Sunshine,50000000,2007-04-05,7.0,False,1272,en,10.663,32017803,107.0,Released,"If the sun dies, so do we.",Sunshine,2070,Science Fiction,Thriller,,
TMNT,34000000,2007-03-23,5.9,False,1273,en,13.056,95608995,90.0,Released,,TMNT,595,,,,
Ein Lied von Liebe und Tod – Gloomy Sunday,0,1999-10-21,8.1,False,1277,de,4.934,585604,112.0,Released,,Gloomy Sunday,24,Drama,Romance,,
The Dreamers,15000000,2003-09-01,7.2,False,1278,en,12.270999999999999,15121165,110.0,Released,Together nothing is impossible. Together nothing is forbidden.,The Dreamers,1601,Drama,Romance,,
사마리아,1000000,2004-03-05,7.1,False,1279,ko,7.457000000000001,0,95.0,Released,,Samaritan Girl,96,Drama,,,
빈집,0,2004-10-15,7.8,False,1280,ko,9.926,0,88.0,Released,,3-Iron,494,Drama,Romance,Crime,
Bean,18000000,1997-07-03,6.4,False,1281,en,15.100999999999999,251212670,85.0,Released,One Man. One Masterpiece. One Very Big Mistake.,Bean,1339,Comedy,,,Mr. Bean Collection
Dogtown and Z-Boys,0,2001-01-18,7.3,False,1282,en,5.6579999999999995,0,90.0,Released,The birth of extreme,Dogtown and Z-Boys,80,Documentary,,,
"Torrente, el brazo tonto de la ley",0,1998-03-13,6.4,False,1283,es,6.542999999999999,0,97.0,Released,,"Torrente, the Dumb Arm of the Law",115,Comedy,Crime,,Torrente Collection
Torrente 2: Misión en Marbella,0,2001-03-30,6.1,False,1284,es,6.598,0,99.0,Released,,Torrente 2: Mission in Marbella,84,Comedy,Crime,,Torrente Collection
Torrente 3: El protector,0,2005-09-30,5.3,False,1285,es,5.746,0,91.0,Released,,Torrente 3: The Protector,73,Comedy,Crime,,Torrente Collection
Vier Minuten,0,2006-06-23,6.8,False,1294,de,3.383,0,112.0,Released,,Four Minutes,52,Drama,Music,,
A Brief History of Time,0,1991-10-01,7.5,False,1358,en,5.961,0,80.0,Released,,A Brief History of Time,62,Documentary,,,
American Psycho,7000000,2000-04-13,7.3,False,1359,en,17.118,34266564,102.0,Released,I think my mask of sanity is about to slip.,American Psycho,4691,,,,American Psycho Collection
Frida,12000000,2002-08-29,7.5,False,1360,en,11.195,56298474,123.0,Released,Prepare to be seduced,Frida,1077,Drama,Romance,,
The Return of the King,0,1980-05-11,5.6,False,1361,en,4.253,0,98.0,Released,,The Return of the King,18,Animation,Family,Fantasy,The Lord of the Rings Animated Collection
The Hobbit,3000000,1977-11-27,6.1,False,1362,en,8.94,0,77.0,Released,,The Hobbit,131,,,,The Lord of the Rings Animated Collection
The Hi-Lo Country,0,1998-12-30,5.4,False,1363,en,4.592,0,114.0,Released,A woman like Mona can drive men to extremes.,The Hi-Lo Country,24,,,,
Lucía y el sexo,0,2001-08-24,6.6,False,1364,es,8.794,7640680,128.0,Released,,Sex and Lucía,242,Drama,Romance,,
Monster's Ball,4000000,2001-11-11,6.7,False,1365,en,11.42,44909486,111.0,Released,A lifetime of change can happen in a single moment.,Monster's Ball,479,Drama,Romance,,
Rocky,1000000,1976-11-21,7.7,False,1366,en,18.482,117235147,119.0,Released,His whole life was a million-to-one shot.,Rocky,4090,Drama,,,Rocky Collection
Rocky II,7000000,1979-06-15,7.1,False,1367,en,14.705,200182160,119.0,Released,Once he fought for a dream. Now he's fighting for love!,Rocky II,2259,Drama,,,Rocky Collection
First Blood,15000000,1982-10-22,7.4,False,1368,en,19.543,125212904,93.0,Released,This time he's fighting for his life.,First Blood,3108,,,,Rambo Collection
Rambo: First Blood Part II,44000000,1985-05-21,6.4,False,1369,en,19.06,300400432,96.0,Released,"What most people call hell, he calls home.",Rambo: First Blood Part II,1820,,,,Rambo Collection
Rambo III,63000000,1988-05-24,5.9,False,1370,en,18.059,189015611,102.0,Released,The first was for himself. The second for his country. This time it's to save his friend.,Rambo III,1494,,,,Rambo Collection
Rocky III,17000000,1982-05-28,6.7,False,1371,en,15.799000000000001,270000000,99.0,Released,The greatest challenge.,Rocky III,2078,Drama,,,Rocky Collection
Blood Diamond,100000000,2006-12-07,7.5,False,1372,en,15.713,170877916,143.0,Released,It will cost you everything.,Blood Diamond,4199,Drama,Thriller,Action,
The Discovery of Heaven,0,2001-10-01,7.1,False,1373,en,2.887,0,127.0,Released,"Coincidence doesn't exist, everything happens for a reason.",The Discovery of Heaven,8,Drama,Fantasy,,
Rocky IV,31000000,1985-11-21,6.9,False,1374,en,16.945,300473716,91.0,Released,He's facing the ultimate challenge. And fighting for his life.,Rocky IV,2237,Drama,,,Rocky Collection
Rocky V,42000000,1990-10-18,5.5,False,1375,en,16.03,119946358,104.0,Released,Go for it!,Rocky V,1604,Drama,,,Rocky Collection
Sweet Sixteen,0,2002-05-21,7.0,False,1376,en,7.695,0,106.0,Released,Life... it's about to hit the fan!,Sweet Sixteen,99,Crime,Drama,,
Houseboat,0,1958-11-19,6.4,False,1377,en,6.625,0,110.0,Released,It All Happens Happily on a Heaven of a Houseboat!,Houseboat,58,,,,
Shortbus,2000000,2006-05-20,6.3,False,1378,en,10.424000000000001,5179037,101.0,Released,Open Your Mind. And Everything Else.,Shortbus,249,Romance,Drama,Comedy,
Laitakaupungin valot,1380000,2006-02-03,6.7,False,1379,fi,3.315,1615018,78.0,Released,,Lights in the Dusk,45,Crime,Drama,,
Gleaming the Cube,0,1989-01-13,5.8,False,1380,en,5.893,2777280,109.0,Released,,Gleaming the Cube,59,Action,,,
The Fountain,35000000,2006-09-06,6.9,False,1381,en,11.546,15304890,96.0,Released,Death is the road to awe,The Fountain,1551,,,,
Me and You and Everyone We Know,0,2005-06-17,7.0,False,1382,en,9.136000000000001,0,90.0,Released,,Me and You and Everyone We Know,170,Comedy,Drama,,
C'était un rendez-vous,0,1976-01-01,7.6,False,1386,fr,2.267,0,8.0,Released,,C'était un rendez-vous,30,Action,Romance,,
Superstar: The Karen Carpenter Story,0,1988-04-30,7.5,False,1387,en,3.728,0,43.0,Released,,Superstar: The Karen Carpenter Story,27,Drama,Music,Animation,
Der Lauf der Dinge,1,1987-01-01,6.4,False,1388,en,2.094,0,30.0,Released,,The Way Things Go,13,Documentary,,,
Out of Sight,48000000,1998-06-26,6.6,False,1389,en,10.375,77745568,123.0,Released,Opposites attract.,Out of Sight,586,Romance,Comedy,Crime,
Y tu mamá también,5000000,2001-06-08,7.4,False,1391,es,11.923,33616692,106.0,Released,Life has its ways of teaching,Y Tu Mamá También,660,Drama,Romance,,
Born into Brothels,350000,2004-12-08,7.1,False,1392,en,8.119,3515061,85.0,Released,,Born into Brothels,98,Documentary,,,
Die Höhle des gelben Hundes,0,2005-07-27,7.5,False,1393,mn,2.75,0,93.0,Released,,The Cave of the Yellow Dog,39,Documentary,Drama,,
Nostalghia,0,1983-05-01,8.1,False,1394,ru,8.474,0,120.0,Released,,Nostalgia,204,Drama,Romance,,
Зеркало,0,1975-03-07,8.1,False,1396,ru,9.809,0,107.0,Released,,Mirror,353,Drama,History,,
Wege Gottes,0,2007-01-01,10.0,False,1397,en,0.884,0,60.0,Released,,Wege Gottes,1,Documentary,,,
Сталкер,0,1979-04-16,8.3,False,1398,ru,13.247,0,163.0,Released,,Stalker,817,Science Fiction,Drama,,
The Pursuit of Happyness,55000000,2006-12-14,7.9,False,1402,en,17.58,307077295,117.0,Released,,The Pursuit of Happyness,5591,Drama,,,
Duel at Diablo,0,1966-06-15,6.4,False,1403,en,5.351,0,103.0,Released,Yesterday they fought each other – today they fight together in a dead end canyon called Diablo!,Duel at Diablo,36,Action,Western,,
Ae Fond Kiss...,0,2004-02-13,6.7,False,1404,en,5.555,0,104.0,Released,,Ae Fond Kiss...,51,Drama,,,
Greed,546883,1925-01-26,7.7,False,1405,en,7.642,0,140.0,Released,The Film of Films,Greed,66,Drama,,,
City Slickers,27000000,1991-06-07,6.4,False,1406,en,12.595999999999998,179033791,112.0,Released,Yesterday They Were Businessmen. Today They're Cowboys. Tomorrow They'll Be Walking Funny.,City Slickers,401,Comedy,,,City Slickers Collection
La Môme,0,2007-02-14,7.5,False,1407,fr,8.29,0,140.0,Released,The Extraordinary Story of Edith Piaf,La Vie en Rose,872,Music,Drama,,
Cutthroat Island,98000000,1995-12-22,5.8,False,1408,en,9.948,10017322,119.0,Released,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,Cutthroat Island,258,Action,Adventure,,
Dark Star,60000,1974-04-01,6.2,False,1410,en,10.118,0,83.0,Released,What Do You Say To A Talking Bomb? All Systems Snafu!!!,Dark Star,216,Comedy,Science Fiction,,
The Rapture,1227401,1991-10-04,6.3,False,1411,en,6.305,1277401,100.0,Released,All will be forgiven... all but one,The Rapture,27,Mystery,Drama,,
"sex, lies, and videotape",1200000,1989-08-18,6.9,False,1412,en,10.937999999999999,0,101.0,Released,,"sex, lies, and videotape",378,Drama,,,
M. Butterfly,0,1993-09-09,6.7,False,1413,en,6.699,1499795,101.0,Released,,M. Butterfly,76,Drama,Romance,,
Los Amantes del Círculo Polar,0,1998-09-04,7.4,False,1414,es,7.305,0,112.0,Released,Destiny cannot be denied.,Lovers of the Arctic Circle,100,Drama,Mystery,Romance,
Party Monster,5000000,2003-09-05,6.1,False,1415,en,8.056000000000001,742898,98.0,Released,'Til death do they party...,Party Monster,101,Comedy,Drama,Crime,
해안선,0,2002-11-22,6.8,False,1416,ko,3.1210000000000004,0,96.0,Released,,The Coast Guard,40,Thriller,Drama,,
El laberinto del fauno,19000000,2006-08-25,7.7,False,1417,es,14.407,83258226,118.0,Released,What happens when make-believe believes it's real?,Pan's Labyrinth,6425,Fantasy,Drama,War,
Te doy mis ojos,0,2003-10-08,7.5,False,1418,es,5.836,0,109.0,Released,Where it reads 'home' read 'hell'. Where it reads 'love' there is pain,Take My Eyes,85,Romance,Drama,,
Vollidiot,0,2007-04-11,4.5,False,1419,de,4.461,0,102.0,Released,,Vollidiot,40,Comedy,Drama,,
Breakfast on Pluto,0,2005-09-03,7.3,False,1420,en,10.082,0,128.0,Released,Same world. Different planet.,Breakfast on Pluto,156,Drama,Comedy,,
L'Homme qui aimait les femmes,0,1977-04-27,7.3,False,1421,fr,5.452999999999999,0,119.0,Released,,The Man Who Loved Women,76,Drama,Comedy,Romance,
The Departed,90000000,2006-10-05,8.1,False,1422,en,17.749000000000002,289847354,151.0,Released,Lies. Betrayal. Sacrifice. How far will you take it?,The Departed,8522,Drama,Thriller,Crime,
Flying Saucer Rock 'N' Roll,0,2006-03-18,3.0,False,1423,en,2.057,6,85.0,Released,,Flying Saucer Rock 'N' Roll,1,,,,
November,0,2004-07-22,4.8,False,1424,en,4.862,0,73.0,Released,,November,21,Drama,Mystery,Thriller,
Maria am Wasser,0,2007-03-08,0.0,False,1426,de,0.89,0,100.0,Released,,Maria am Wasser,0,Drama,,,
Perfume: The Story of a Murderer,50000000,2006-09-13,7.2,False,1427,en,18.689,132180323,147.0,Released,Based on the best-selling novel,Perfume: The Story of a Murderer,2421,Crime,Fantasy,Drama,
Once Upon a Time in Mexico,29000000,2003-09-11,6.3,False,1428,en,11.901,98185582,102.0,Released,The Time Has Come.,Once Upon a Time in Mexico,1150,Action,Drama,Mystery,Mexico Trilogy Collection
25th Hour,15000000,2002-12-16,7.4,False,1429,en,12.702,13060843,135.0,Released,Can you change your whole life in one day?,25th Hour,1258,Crime,Drama,,
Bowling for Columbine,4000000,2002-10-09,7.6,False,1430,en,11.084000000000001,35564473,120.0,Released,One nation under the gun,Bowling for Columbine,842,Documentary,,,
El espinazo del diablo,4500000,2001-04-20,7.3,False,1433,es,8.315,6582065,108.0,Released,What is a ghost?,The Devil's Backbone,579,,,,
Tarnation,218,2003-10-19,7.1,False,1435,en,5.245,1162014,91.0,Released,,Tarnation,36,Documentary,Drama,,
무사,8000000,2001-09-07,6.9,False,1436,ko,4.511,0,155.0,Released,,The Warrior,71,History,Drama,Action,
Abgefahren,0,2004-03-31,5.6,False,1437,de,0.987,0,86.0,Released,,Abgefahren,4,,,,
Regoch,0,2006-11-20,10.0,False,1438,en,0.622,0,23.0,Released,,Regoch,1,Animation,,,
Anna and the King,75000000,1999-12-16,6.7,False,1439,en,10.195,0,148.0,Released,,Anna and the King,395,Drama,History,Romance,
Little Children,26000000,2006-10-06,7.2,False,1440,en,12.883,14821658,136.0,Released,,Little Children,446,Romance,Drama,Comedy,
The Contract,25000000,2006-04-05,5.7,False,1441,en,10.152999999999999,5549200,96.0,Released,Every Killer Meets His Equal.,The Contract,271,,,,
Full Metal Village,0,2007-04-19,6.9,False,1442,de,2.637,0,90.0,Released,,Full Metal Village,9,Documentary,,,
The Virgin Suicides,6000000,1999-12-31,7.1,False,1443,en,9.988,10409377,97.0,Released,"Beautiful, mysterious, haunting, invariably fatal. Just like life.",The Virgin Suicides,1690,Drama,Romance,,
Junebug,1000000,2005-08-03,6.7,False,1444,en,10.905999999999999,0,106.0,Released,,Junebug,108,Comedy,Drama,,
The Wisdom of Crocodiles,0,1998-11-27,6.2,False,1448,en,5.957999999999999,0,98.0,Released,,The Wisdom of Crocodiles,52,Drama,Fantasy,Horror,
Blood: The Last Vampire,0,2009-04-02,5.3,False,1450,en,12.07,0,91.0,Released,"Where evil grows, she preys.",Blood: The Last Vampire,171,,,,
Superman Returns,270000000,2006-06-28,5.6,False,1452,en,15.612,391081192,154.0,Released,"On June 30, 2006! Look Up In The Sky!",Superman Returns,2527,Science Fiction,Action,Adventure,Superman Collection
"Clean, Shaven",68000,1993-09-05,6.6,False,1479,en,5.582999999999999,0,79.0,Released,Partition on a strange madness!,"Clean, Shaven",44,Drama,Crime,,
Touch of Evil,829000,1958-04-23,7.8,False,1480,en,12.071,2247465,95.0,Released,The strangest vengeance ever planned!,Touch of Evil,690,Thriller,Crime,,
Metal Skin,0,1994-02-21,4.5,False,1481,en,2.475,0,115.0,Released,Speeding Cars... Crazy Women... Devil worship... The world is out of control!,Metal Skin,2,Action,Drama,,
Laws of Gravity,0,1992-03-21,7.2,False,1482,en,2.9360000000000004,0,100.0,Released,,Laws of Gravity,6,Action,Drama,,
Begotten,33000,1991-06-05,5.5,False,1483,en,7.391,0,78.0,Released,,Begotten,119,Fantasy,Horror,,Begotten Collection
Der Totmacher,0,1995-11-23,6.7,False,1484,de,3.195,0,110.0,Released,,The Deathmaker,21,Drama,,,
Get Carter,1814462,1971-03-03,7.0,False,1485,en,9.102,0,112.0,Released,,Get Carter,208,Crime,Thriller,,
Hellboy,66000000,2004-04-02,6.6,False,1487,en,16.616,99318987,122.0,Released,From the Dark Side to Our Side.,Hellboy,4388,Fantasy,Action,,Hellboy Collection
綠草地,0,2005-06-11,5.0,False,1488,zh,1.4,0,102.0,Released,,Mongolian Ping Pong,1,Drama,Comedy,,
Gears of War,0,,0.0,False,1489,en,1.15,0,,Planned,,Gears of War,0,Action,Science Fiction,War,
Singendes Wasser,0,2007-01-01,0.0,False,1490,de,0.6,0,9.0,Released,,Singendes Wasser,0,Drama,,,
The Illusionist,16500000,2006-08-18,7.2,False,1491,en,13.029000000000002,87892388,110.0,Released,Nothing is what it seems,The Illusionist,2921,,,,
1492: Conquest of Paradise,47000000,1992-10-09,6.2,False,1492,en,9.501,7191399,154.0,Released,"Centuries before the exploration of space, there was another voyage into the unknown.",1492: Conquest of Paradise,378,,,,
Miss Congeniality,45000000,2000-12-14,6.4,False,1493,en,13.464,212000000,111.0,Released,Never Mess With An Agent In A Dress.,Miss Congeniality,2120,Comedy,Crime,Action,Miss Congeniality Collection
滿城盡帶黃金甲,45000000,2006-12-21,6.7,False,1494,zh,11.17,78568977,114.0,Released,Unspeakable secrets are hidden within the Forbidden City.,Curse of the Golden Flower,377,Action,Drama,Fantasy,
Kingdom of Heaven,130000000,2005-05-03,6.7,False,1495,en,14.634,211643158,144.0,Released,"Be without fear in the face of your enemies. Safeguard the helpless, and do no wrong",Kingdom of Heaven,2238,,,,
Cool as Ice,6000000,1991-10-18,4.1,False,1496,en,5.351,1193062,91.0,Released,"When a girl has a heart of stone, there's only one way to melt it. Just add Ice.",Cool as Ice,54,,,,
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,25000000,1991-03-22,6.0,False,1497,en,12.265999999999998,78656813,88.0,Released,"Cowabunga, it's the new turtle movie.",Teenage Mutant Ninja Turtles II: The Secret of the Ooze,532,,,,Teenage Mutant Ninja Turtles Collection
Teenage Mutant Ninja Turtles,13500000,1990-03-30,6.5,False,1498,en,13.755999999999998,201965915,93.0,Released,Heroes in a half shell!,Teenage Mutant Ninja Turtles,885,,,,Teenage Mutant Ninja Turtles Collection
Teenage Mutant Ninja Turtles III,10000000,1993-03-17,5.1,False,1499,en,11.382,0,96.0,Released,The Turtles Are Back....In Time.,Teenage Mutant Ninja Turtles III,373,,,,Teenage Mutant Ninja Turtles Collection
The Last King of Scotland,6000000,2006-09-01,7.5,False,1523,en,11.948,48027970,121.0,Released,Charming. Magnetic. Murderous.,The Last King of Scotland,1095,Drama,,,
Pathfinder,45000000,2007-01-11,5.4,False,1534,en,11.716,30822861,99.0,Released,"Two Worlds, One War. The Ultimate Battle Begins.",Pathfinder,322,Adventure,Action,,
Spy Game,115000000,2001-11-18,6.9,False,1535,en,13.190999999999999,143049560,126.0,Released,It's not how you play the game. It's how the game plays you.,Spy Game,1068,Action,Crime,Thriller,
Changing Lanes,45000000,2002-04-07,6.1,False,1537,en,15.17,94935764,99.0,Released,"An ambitious lawyer, a desperate father, they had no reason to meet, until today,",Changing Lanes,541,Crime,Thriller,,
Collateral,65000000,2004-08-04,7.1,False,1538,en,18.107,217764291,120.0,Released,It started like any other night.,Collateral,2792,Drama,Crime,Thriller,
Keine Lieder über Liebe,0,2005-10-26,6.8,False,1539,de,1.034,0,98.0,Released,,Keine Lieder über Liebe,4,Music,Drama,Romance,
Vers le sud,0,2006-01-25,5.8,False,1540,fr,2.782,0,108.0,Released,,Heading South,16,Drama,Romance,,
Thelma & Louise,16000000,1991-05-24,7.5,False,1541,en,12.573,45361000,130.0,Released,Somebody said get a life… so they did.,Thelma & Louise,1602,,,,
Office Space,10000000,1999-02-19,7.4,False,1542,en,10.779000000000002,10827810,89.0,Released,Work sucks.,Office Space,1656,Comedy,,,
Emmas Glück,0,2006-07-16,6.9,False,1543,de,2.655,3500000,103.0,Released,,Emma's Bliss,17,Drama,Romance,,
